epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.8187,1.84513,4.02728,1.62714,0.10993,0.47858,0.12508,0.07696,1.72302,9.0995,1.50887,8.99412e-05,8.99412e-05,8.99412e-05
2,69.6567,1.34478,2.03699,1.24035,0.16214,0.50393,0.19344,0.10169,1.92633,3.05427,1.5386,0.000182563,0.000182563,0.000182563
3,95.4948,1.29696,1.71871,1.21425,0.30008,0.7308,0.39868,0.25294,1.34154,1.68651,1.28569,0.000275006,0.000275006,0.000275006
4,121.056,1.25896,1.59724,1.20562,0.39815,0.79375,0.488,0.30351,1.29416,1.40014,1.2615,0.000277389,0.000277389,0.000277389
5,147.626,1.23616,1.44606,1.17735,0.42473,0.86644,0.50349,0.31796,1.26378,1.29867,1.24569,0.000276915,0.000276915,0.000276915
6,173.237,1.25756,1.40752,1.19062,0.425,0.83358,0.50271,0.30245,1.35838,1.33349,1.29687,0.000276306,0.000276306,0.000276306
7,198.796,1.23473,1.33632,1.17889,0.46425,0.8675,0.5773,0.37181,1.24141,1.18988,1.22281,0.000275563,0.000275563,0.000275563
8,224.804,1.20667,1.29685,1.1627,0.4682,0.87359,0.59997,0.38318,1.25016,1.16671,1.24856,0.000274686,0.000274686,0.000274686
9,251.302,1.16163,1.25631,1.14598,0.47898,0.86427,0.58886,0.38201,1.21805,1.14332,1.21195,0.000273677,0.000273677,0.000273677
10,276.744,1.16839,1.23092,1.14754,0.44834,0.81913,0.57125,0.35993,1.28866,1.21628,1.23447,0.000272536,0.000272536,0.000272536
11,302.211,1.13929,1.23157,1.14693,0.46289,0.87563,0.56911,0.36761,1.21586,1.15493,1.2128,0.000271265,0.000271265,0.000271265
12,327.775,1.14386,1.18318,1.13319,0.45949,0.9033,0.55434,0.3579,1.21319,1.16014,1.22015,0.000269865,0.000269865,0.000269865
13,353.464,1.15196,1.15061,1.13742,0.6133,0.85219,0.73879,0.47352,1.25746,1.01482,1.23453,0.000268337,0.000268337,0.000268337
14,379.71,1.12542,1.15262,1.13644,0.57724,0.8172,0.72289,0.46378,1.24657,1.02528,1.22425,0.000266682,0.000266682,0.000266682
15,405.44,1.13388,1.11874,1.13344,0.59685,0.83093,0.74506,0.49582,1.20431,1.01167,1.22137,0.000264903,0.000264903,0.000264903
16,431.303,1.17408,1.15496,1.14173,0.5481,0.83553,0.6973,0.46017,1.24224,1.13965,1.2242,0.000263001,0.000263001,0.000263001
17,458.848,1.10778,1.07741,1.12159,0.52505,0.85807,0.7021,0.46887,1.24068,1.13071,1.21641,0.000260979,0.000260979,0.000260979
18,485.55,1.08424,0.99453,1.11192,0.59154,0.77134,0.69118,0.45507,1.19329,1.09232,1.19935,0.000258837,0.000258837,0.000258837
19,512.336,1.09973,1.0271,1.11851,0.54251,0.74713,0.61724,0.39192,1.24375,1.18147,1.22098,0.000256578,0.000256578,0.000256578
20,538.408,1.1024,1.00519,1.12428,0.69192,0.80443,0.79581,0.52606,1.19452,0.95912,1.19962,0.000254205,0.000254205,0.000254205
21,564.507,1.10336,0.97038,1.1116,0.62863,0.76491,0.7155,0.46217,1.23916,1.07716,1.22143,0.000251719,0.000251719,0.000251719
22,590.684,1.09718,0.9211,1.10805,0.69255,0.78273,0.78285,0.5226,1.19426,0.96709,1.20951,0.000249123,0.000249123,0.000249123
23,616.276,1.09318,0.87998,1.11924,0.78837,0.84985,0.8648,0.56585,1.22925,0.8147,1.20852,0.00024642,0.00024642,0.00024642
24,642.427,1.08094,0.89992,1.11913,0.68496,0.76157,0.75083,0.49774,1.21206,1.0256,1.19468,0.000243613,0.000243613,0.000243613
25,668.305,1.09294,0.85105,1.10186,0.48359,0.72508,0.57204,0.3757,1.21385,1.40808,1.20245,0.000240703,0.000240703,0.000240703
26,694.44,1.11165,0.85782,1.12773,0.58214,0.76023,0.69005,0.44961,1.28862,1.15094,1.26425,0.000237695,0.000237695,0.000237695
27,721.323,1.088,0.83422,1.09946,0.87025,0.89027,0.92089,0.61842,1.17492,0.6937,1.19039,0.000234591,0.000234591,0.000234591
28,747.327,1.08048,0.82871,1.11065,0.72523,0.79226,0.82428,0.55412,1.20209,0.93465,1.20105,0.000231393,0.000231393,0.000231393
29,773.165,1.10114,0.82113,1.1037,0.66283,0.74293,0.70951,0.4672,1.20651,1.13609,1.20974,0.000228106,0.000228106,0.000228106
30,798.781,1.06582,0.77398,1.0968,0.72648,0.79585,0.77005,0.51727,1.16957,1.01763,1.18236,0.000224732,0.000224732,0.000224732
31,824.37,1.07553,0.73191,1.10664,0.86395,0.88198,0.91732,0.62221,1.17047,0.73678,1.19479,0.000221275,0.000221275,0.000221275
32,852.045,1.04256,0.73293,1.08983,0.82826,0.85403,0.88179,0.59602,1.22698,0.82513,1.20044,0.000217738,0.000217738,0.000217738
33,878.09,1.03815,0.74507,1.07793,0.8898,0.90165,0.92455,0.63323,1.14205,0.68668,1.19361,0.000214125,0.000214125,0.000214125
34,904.002,1.03573,0.70971,1.08974,0.75076,0.82691,0.83797,0.55591,1.19584,0.94062,1.19658,0.000210439,0.000210439,0.000210439
